Consumption (kwh), Start, End
0.330000, 2025-10-25T13:00:00+01:00, 2025-10-25T13:30:00+01:00
0.340000, 2025-10-25T13:30:00+01:00, 2025-10-25T14:00:00+01:00
0.310000, 2025-10-25T14:00:00+01:00, 2025-10-25T14:30:00+01:00
0.323000, 2025-10-25T14:30:00+01:00, 2025-10-25T15:00:00+01:00
0.318000, 2025-10-25T15:00:00+01:00, 2025-10-25T15:30:00+01:00
0.326000, 2025-10-25T15:30:00+01:00, 2025-10-25T16:00:00+01:00
0.339000, 2025-10-25T16:00:00+01:00, 2025-10-25T16:30:00+01:00
0.311000, 2025-10-25T16:30:00+01:00, 2025-10-25T17:00:00+01:00
0.316000, 2025-10-25T17:00:00+01:00, 2025-10-25T17:30:00+01:00
0.332000, 2025-10-25T17:30:00+01:00, 2025-10-25T18:00:00+01:00
0.321000, 2025-10-25T18:00:00+01:00, 2025-10-25T18:30:00+01:00
0.328000, 2025-10-25T18:30:00+01:00, 2025-10-25T19:00:00+01:00
0.335000, 2025-10-25T19:00:00+01:00, 2025-10-25T19:30:00+01:00
0.324000, 2025-10-25T19:30:00+01:00, 2025-10-25T20:00:00+01:00
0.330000, 2025-10-25T20:00:00+01:00, 2025-10-25T20:30:00+01:00
0.329000, 2025-10-25T20:30:00+01:00, 2025-10-25T21:00:00+01:00
0.323000, 2025-10-25T21:00:00+01:00, 2025-10-25T21:30:00+01:00
0.324000, 2025-10-25T21:30:00+01:00, 2025-10-25T22:00:00+01:00
0.340000, 2025-10-25T22:00:00+01:00, 2025-10-25T22:30:00+01:00
0.329000, 2025-10-25T22:30:00+01:00, 2025-10-25T23:00:00+01:00
0.318000, 2025-10-25T23:00:00+01:00, 2025-10-25T23:30:00+01:00
0.331000, 2025-10-25T23:30:00+01:00, 2025-10-26T00:00:00+01:00
0.330000, 2025-10-26T00:00:00+01:00, 2025-10-26T00:30:00+01:00
0.326000, 2025-10-26T00:30:00+01:00, 2025-10-26T01:00:00+01:00
0.332000, 2025-10-26T01:00:00+01:00, 2025-10-26T01:30:00+01:00
0.318000, 2025-10-26T01:30:00+01:00, 2025-10-26T01:00:00+00:00
0.340000, 2025-10-26T01:00:00+00:00, 2025-10-26T01:30:00+00:00
0.345000, 2025-10-26T01:30:00+00:00, 2025-10-26T02:00:00+00:00
0.337000, 2025-10-26T02:00:00+00:00, 2025-10-26T02:30:00+00:00
0.323000, 2025-10-26T02:30:00+00:00, 2025-10-26T03:00:00+00:00
0.344000, 2025-10-26T03:00:00+00:00, 2025-10-26T03:30:00+00:00
0.329000, 2025-10-26T03:30:00+00:00, 2025-10-26T04:00:00+00:00
0.334000, 2025-10-26T04:00:00+00:00, 2025-10-26T04:30:00+00:00
0.319000, 2025-10-26T04:30:00+00:00, 2025-10-26T05:00:00+00:00
0.321000, 2025-10-26T05:00:00+00:00, 2025-10-26T05:30:00+00:00
0.319000, 2025-10-26T05:30:00+00:00, 2025-10-26T06:00:00+00:00
0.326000, 2025-10-26T06:00:00+00:00, 2025-10-26T06:30:00+00:00
0.312000, 2025-10-26T06:30:00+00:00, 2025-10-26T07:00:00+00:00
0.301000, 2025-10-26T07:00:00+00:00, 2025-10-26T07:30:00+00:00
0.318000, 2025-10-26T07:30:00+00:00, 2025-10-26T08:00:00+00:00
0.308000, 2025-10-26T08:00:00+00:00, 2025-10-26T08:30:00+00:00
0.303000, 2025-10-26T08:30:00+00:00, 2025-10-26T09:00:00+00:00
0.314000, 2025-10-26T09:00:00+00:00, 2025-10-26T09:30:00+00:00
0.311000, 2025-10-26T09:30:00+00:00, 2025-10-26T10:00:00+00:00
0.309000, 2025-10-26T10:00:00+00:00, 2025-10-26T10:30:00+00:00
0.310000, 2025-10-26T10:30:00+00:00, 2025-10-26T11:00:00+00:00
0.301000, 2025-10-26T11:00:00+00:00, 2025-10-26T11:30:00+00:00
0.307000, 2025-10-26T11:30:00+00:00, 2025-10-26T12:00:00+00:00
0.313000, 2025-10-26T12:00:00+00:00, 2025-10-26T12:30:00+00:00
0.299000, 2025-10-26T12:30:00+00:00, 2025-10-26T13:00:00+00:00
0.295000, 2025-10-26T13:00:00+00:00, 2025-10-26T13:30:00+00:00
0.320000, 2025-10-26T13:30:00+00:00, 2025-10-26T14:00:00+00:00
0.313000, 2025-10-26T14:00:00+00:00, 2025-10-26T14:30:00+00:00
0.300000, 2025-10-26T14:30:00+00:00, 2025-10-26T15:00:00+00:00
0.315000, 2025-10-26T15:00:00+00:00, 2025-10-26T15:30:00+00:00
0.318000, 2025-10-26T15:30:00+00:00, 2025-10-26T16:00:00+00:00
0.319000, 2025-10-26T16:00:00+00:00, 2025-10-26T16:30:00+00:00
0.319000, 2025-10-26T16:30:00+00:00, 2025-10-26T17:00:00+00:00
0.339000, 2025-10-26T17:00:00+00:00, 2025-10-26T17:30:00+00:00
0.352000, 2025-10-26T17:30:00+00:00, 2025-10-26T18:00:00+00:00
0.360000, 2025-10-26T18:00:00+00:00, 2025-10-26T18:30:00+00:00
0.329000, 2025-10-26T18:30:00+00:00, 2025-10-26T19:00:00+00:00
0.332000, 2025-10-26T19:00:00+00:00, 2025-10-26T19:30:00+00:00
0.351000, 2025-10-26T19:30:00+00:00, 2025-10-26T20:00:00+00:00
0.333000, 2025-10-26T20:00:00+00:00, 2025-10-26T20:30:00+00:00
0.335000, 2025-10-26T20:30:00+00:00, 2025-10-26T21:00:00+00:00
0.345000, 2025-10-26T21:00:00+00:00, 2025-10-26T21:30:00+00:00
0.347000, 2025-10-26T21:30:00+00:00, 2025-10-26T22:00:00+00:00
0.342000, 2025-10-26T22:00:00+00:00, 2025-10-26T22:30:00+00:00
0.336000, 2025-10-26T22:30:00+00:00, 2025-10-26T23:00:00+00:00
0.331000, 2025-10-26T23:00:00+00:00, 2025-10-26T23:30:00+00:00
0.344000, 2025-10-26T23:30:00+00:00, 2025-10-27T00:00:00+00:00
0.347000, 2025-10-27T00:00:00+00:00, 2025-10-27T00:30:00+00:00
0.320000, 2025-10-27T00:30:00+00:00, 2025-10-27T01:00:00+00:00
0.351000, 2025-10-27T01:00:00+00:00, 2025-10-27T01:30:00+00:00
0.373000, 2025-10-27T01:30:00+00:00, 2025-10-27T02:00:00+00:00
0.361000, 2025-10-27T02:00:00+00:00, 2025-10-27T02:30:00+00:00
0.333000, 2025-10-27T02:30:00+00:00, 2025-10-27T03:00:00+00:00
0.356000, 2025-10-27T03:00:00+00:00, 2025-10-27T03:30:00+00:00
0.344000, 2025-10-27T03:30:00+00:00, 2025-10-27T04:00:00+00:00
0.342000, 2025-10-27T04:00:00+00:00, 2025-10-27T04:30:00+00:00
0.346000, 2025-10-27T04:30:00+00:00, 2025-10-27T05:00:00+00:00
0.344000, 2025-10-27T05:00:00+00:00, 2025-10-27T05:30:00+00:00
0.344000, 2025-10-27T05:30:00+00:00, 2025-10-27T06:00:00+00:00
0.357000, 2025-10-27T06:00:00+00:00, 2025-10-27T06:30:00+00:00
0.399000, 2025-10-27T06:30:00+00:00, 2025-10-27T07:00:00+00:00
0.355000, 2025-10-27T07:00:00+00:00, 2025-10-27T07:30:00+00:00
0.353000, 2025-10-27T07:30:00+00:00, 2025-10-27T08:00:00+00:00
0.346000, 2025-10-27T08:00:00+00:00, 2025-10-27T08:30:00+00:00
0.322000, 2025-10-27T08:30:00+00:00, 2025-10-27T09:00:00+00:00
0.314000, 2025-10-27T09:00:00+00:00, 2025-10-27T09:30:00+00:00
0.331000, 2025-10-27T09:30:00+00:00, 2025-10-27T10:00:00+00:00
0.310000, 2025-10-27T10:00:00+00:00, 2025-10-27T10:30:00+00:00
0.354000, 2025-10-27T10:30:00+00:00, 2025-10-27T11:00:00+00:00
0.343000, 2025-10-27T11:00:00+00:00, 2025-10-27T11:30:00+00:00
0.401000, 2025-10-27T11:30:00+00:00, 2025-10-27T12:00:00+00:00
0.410000, 2025-10-27T12:00:00+00:00, 2025-10-27T12:30:00+00:00
0.401000, 2025-10-27T12:30:00+00:00, 2025-10-27T13:00:00+00:00
0.381000, 2025-10-27T13:00:00+00:00, 2025-10-27T13:30:00+00:00
0.394000, 2025-10-27T13:30:00+00:00, 2025-10-27T14:00:00+00:00
0.393000, 2025-10-27T14:00:00+00:00, 2025-10-27T14:30:00+00:00
0.367000, 2025-10-27T14:30:00+00:00, 2025-10-27T15:00:00+00:00
0.498000, 2025-10-27T15:00:00+00:00, 2025-10-27T15:30:00+00:00
0.670000, 2025-10-27T15:30:00+00:00, 2025-10-27T16:00:00+00:00
0.717000, 2025-10-27T16:00:00+00:00, 2025-10-27T16:30:00+00:00
0.378000, 2025-10-27T16:30:00+00:00, 2025-10-27T17:00:00+00:00
0.358000, 2025-10-27T17:00:00+00:00, 2025-10-27T17:30:00+00:00
0.375000, 2025-10-27T17:30:00+00:00, 2025-10-27T18:00:00+00:00
0.376000, 2025-10-27T18:00:00+00:00, 2025-10-27T18:30:00+00:00
0.342000, 2025-10-27T18:30:00+00:00, 2025-10-27T19:00:00+00:00
0.345000, 2025-10-27T19:00:00+00:00, 2025-10-27T19:30:00+00:00
0.328000, 2025-10-27T19:30:00+00:00, 2025-10-27T20:00:00+00:00
0.330000, 2025-10-27T20:00:00+00:00, 2025-10-27T20:30:00+00:00
0.331000, 2025-10-27T20:30:00+00:00, 2025-10-27T21:00:00+00:00
0.334000, 2025-10-27T21:00:00+00:00, 2025-10-27T21:30:00+00:00
0.337000, 2025-10-27T21:30:00+00:00, 2025-10-27T22:00:00+00:00
0.438000, 2025-10-27T22:00:00+00:00, 2025-10-27T22:30:00+00:00
0.465000, 2025-10-27T22:30:00+00:00, 2025-10-27T23:00:00+00:00
0.432000, 2025-10-27T23:00:00+00:00, 2025-10-27T23:30:00+00:00
0.313000, 2025-10-27T23:30:00+00:00, 2025-10-28T00:00:00+00:00
0.351000, 2025-10-28T00:00:00+00:00, 2025-10-28T00:30:00+00:00
0.334000, 2025-10-28T00:30:00+00:00, 2025-10-28T01:00:00+00:00
0.337000, 2025-10-28T01:00:00+00:00, 2025-10-28T01:30:00+00:00
0.356000, 2025-10-28T01:30:00+00:00, 2025-10-28T02:00:00+00:00
0.388000, 2025-10-28T02:00:00+00:00, 2025-10-28T02:30:00+00:00
0.361000, 2025-10-28T02:30:00+00:00, 2025-10-28T03:00:00+00:00
0.399000, 2025-10-28T03:00:00+00:00, 2025-10-28T03:30:00+00:00
0.389000, 2025-10-28T03:30:00+00:00, 2025-10-28T04:00:00+00:00
0.349000, 2025-10-28T04:00:00+00:00, 2025-10-28T04:30:00+00:00
0.389000, 2025-10-28T04:30:00+00:00, 2025-10-28T05:00:00+00:00
0.365000, 2025-10-28T05:00:00+00:00, 2025-10-28T05:30:00+00:00
0.371000, 2025-10-28T05:30:00+00:00, 2025-10-28T06:00:00+00:00
0.332000, 2025-10-28T06:00:00+00:00, 2025-10-28T06:30:00+00:00
0.356000, 2025-10-28T06:30:00+00:00, 2025-10-28T07:00:00+00:00
0.333000, 2025-10-28T07:00:00+00:00, 2025-10-28T07:30:00+00:00
0.341000, 2025-10-28T07:30:00+00:00, 2025-10-28T08:00:00+00:00
0.341000, 2025-10-28T08:00:00+00:00, 2025-10-28T08:30:00+00:00
0.312000, 2025-10-28T08:30:00+00:00, 2025-10-28T09:00:00+00:00
0.414000, 2025-10-28T09:00:00+00:00, 2025-10-28T09:30:00+00:00
0.577000, 2025-10-28T09:30:00+00:00, 2025-10-28T10:00:00+00:00
0.620000, 2025-10-28T10:00:00+00:00, 2025-10-28T10:30:00+00:00
0.637000, 2025-10-28T10:30:00+00:00, 2025-10-28T11:00:00+00:00
0.560000, 2025-10-28T11:00:00+00:00, 2025-10-28T11:30:00+00:00
0.563000, 2025-10-28T11:30:00+00:00, 2025-10-28T12:00:00+00:00
0.604000, 2025-10-28T12:00:00+00:00, 2025-10-28T12:30:00+00:00
3.420000, 2025-10-28T12:30:00+00:00, 2025-10-28T13:00:00+00:00
1.895000, 2025-10-28T13:00:00+00:00, 2025-10-28T13:30:00+00:00
1.666000, 2025-10-28T13:30:00+00:00, 2025-10-28T14:00:00+00:00
3.819000, 2025-10-28T14:00:00+00:00, 2025-10-28T14:30:00+00:00
0.553000, 2025-10-28T14:30:00+00:00, 2025-10-28T15:00:00+00:00
0.593000, 2025-10-28T15:00:00+00:00, 2025-10-28T15:30:00+00:00
3.375000, 2025-10-28T15:30:00+00:00, 2025-10-28T16:00:00+00:00
3.640000, 2025-10-28T16:00:00+00:00, 2025-10-28T16:30:00+00:00
0.618000, 2025-10-28T16:30:00+00:00, 2025-10-28T17:00:00+00:00
0.587000, 2025-10-28T17:00:00+00:00, 2025-10-28T17:30:00+00:00
1.082000, 2025-10-28T17:30:00+00:00, 2025-10-28T18:00:00+00:00
0.534000, 2025-10-28T18:00:00+00:00, 2025-10-28T18:30:00+00:00
0.652000, 2025-10-28T18:30:00+00:00, 2025-10-28T19:00:00+00:00
3.744000, 2025-10-28T19:00:00+00:00, 2025-10-28T19:30:00+00:00
2.031000, 2025-10-28T19:30:00+00:00, 2025-10-28T20:00:00+00:00
0.590000, 2025-10-28T20:00:00+00:00, 2025-10-28T20:30:00+00:00
0.556000, 2025-10-28T20:30:00+00:00, 2025-10-28T21:00:00+00:00
0.550000, 2025-10-28T21:00:00+00:00, 2025-10-28T21:30:00+00:00
0.588000, 2025-10-28T21:30:00+00:00, 2025-10-28T22:00:00+00:00
0.569000, 2025-10-28T22:00:00+00:00, 2025-10-28T22:30:00+00:00
2.863000, 2025-10-28T22:30:00+00:00, 2025-10-28T23:00:00+00:00
0.653000, 2025-10-28T23:00:00+00:00, 2025-10-28T23:30:00+00:00
0.827000, 2025-10-28T23:30:00+00:00, 2025-10-29T00:00:00+00:00
1.331000, 2025-10-29T00:00:00+00:00, 2025-10-29T00:30:00+00:00
0.703000, 2025-10-29T00:30:00+00:00, 2025-10-29T01:00:00+00:00
0.849000, 2025-10-29T01:00:00+00:00, 2025-10-29T01:30:00+00:00
0.676000, 2025-10-29T01:30:00+00:00, 2025-10-29T02:00:00+00:00
0.843000, 2025-10-29T02:00:00+00:00, 2025-10-29T02:30:00+00:00
0.819000, 2025-10-29T02:30:00+00:00, 2025-10-29T03:00:00+00:00
0.775000, 2025-10-29T03:00:00+00:00, 2025-10-29T03:30:00+00:00
0.985000, 2025-10-29T03:30:00+00:00, 2025-10-29T04:00:00+00:00
1.078000, 2025-10-29T04:00:00+00:00, 2025-10-29T04:30:00+00:00
0.574000, 2025-10-29T04:30:00+00:00, 2025-10-29T05:00:00+00:00
0.566000, 2025-10-29T05:00:00+00:00, 2025-10-29T05:30:00+00:00
0.555000, 2025-10-29T05:30:00+00:00, 2025-10-29T06:00:00+00:00
0.556000, 2025-10-29T06:00:00+00:00, 2025-10-29T06:30:00+00:00
0.559000, 2025-10-29T06:30:00+00:00, 2025-10-29T07:00:00+00:00
0.553000, 2025-10-29T07:00:00+00:00, 2025-10-29T07:30:00+00:00
0.586000, 2025-10-29T07:30:00+00:00, 2025-10-29T08:00:00+00:00
0.550000, 2025-10-29T08:00:00+00:00, 2025-10-29T08:30:00+00:00
0.732000, 2025-10-29T08:30:00+00:00, 2025-10-29T09:00:00+00:00
0.506000, 2025-10-29T09:00:00+00:00, 2025-10-29T09:30:00+00:00
0.459000, 2025-10-29T09:30:00+00:00, 2025-10-29T10:00:00+00:00
0.598000, 2025-10-29T10:00:00+00:00, 2025-10-29T10:30:00+00:00
0.563000, 2025-10-29T10:30:00+00:00, 2025-10-29T11:00:00+00:00
0.681000, 2025-10-29T11:00:00+00:00, 2025-10-29T11:30:00+00:00
0.574000, 2025-10-29T11:30:00+00:00, 2025-10-29T12:00:00+00:00
0.465000, 2025-10-29T12:00:00+00:00, 2025-10-29T12:30:00+00:00
0.474000, 2025-10-29T12:30:00+00:00, 2025-10-29T13:00:00+00:00
0.544000, 2025-10-29T13:00:00+00:00, 2025-10-29T13:30:00+00:00
0.542000, 2025-10-29T13:30:00+00:00, 2025-10-29T14:00:00+00:00
0.573000, 2025-10-29T14:00:00+00:00, 2025-10-29T14:30:00+00:00
0.569000, 2025-10-29T14:30:00+00:00, 2025-10-29T15:00:00+00:00
0.688000, 2025-10-29T15:00:00+00:00, 2025-10-29T15:30:00+00:00
0.666000, 2025-10-29T15:30:00+00:00, 2025-10-29T16:00:00+00:00
0.643000, 2025-10-29T16:00:00+00:00, 2025-10-29T16:30:00+00:00
0.661000, 2025-10-29T16:30:00+00:00, 2025-10-29T17:00:00+00:00
0.627000, 2025-10-29T17:00:00+00:00, 2025-10-29T17:30:00+00:00
0.593000, 2025-10-29T17:30:00+00:00, 2025-10-29T18:00:00+00:00
0.561000, 2025-10-29T18:00:00+00:00, 2025-10-29T18:30:00+00:00
0.536000, 2025-10-29T18:30:00+00:00, 2025-10-29T19:00:00+00:00
1.514000, 2025-10-29T19:00:00+00:00, 2025-10-29T19:30:00+00:00
1.313000, 2025-10-29T19:30:00+00:00, 2025-10-29T20:00:00+00:00
1.263000, 2025-10-29T20:00:00+00:00, 2025-10-29T20:30:00+00:00
0.839000, 2025-10-29T20:30:00+00:00, 2025-10-29T21:00:00+00:00
0.801000, 2025-10-29T21:00:00+00:00, 2025-10-29T21:30:00+00:00
0.935000, 2025-10-29T21:30:00+00:00, 2025-10-29T22:00:00+00:00
1.088000, 2025-10-29T22:00:00+00:00, 2025-10-29T22:30:00+00:00
0.787000, 2025-10-29T22:30:00+00:00, 2025-10-29T23:00:00+00:00
0.782000, 2025-10-29T23:00:00+00:00, 2025-10-29T23:30:00+00:00
0.838000, 2025-10-29T23:30:00+00:00, 2025-10-30T00:00:00+00:00
0.796000, 2025-10-30T00:00:00+00:00, 2025-10-30T00:30:00+00:00
0.709000, 2025-10-30T00:30:00+00:00, 2025-10-30T01:00:00+00:00
0.702000, 2025-10-30T01:00:00+00:00, 2025-10-30T01:30:00+00:00
0.696000, 2025-10-30T01:30:00+00:00, 2025-10-30T02:00:00+00:00
0.719000, 2025-10-30T02:00:00+00:00, 2025-10-30T02:30:00+00:00
1.080000, 2025-10-30T02:30:00+00:00, 2025-10-30T03:00:00+00:00
0.639000, 2025-10-30T03:00:00+00:00, 2025-10-30T03:30:00+00:00
1.054000, 2025-10-30T03:30:00+00:00, 2025-10-30T04:00:00+00:00
0.580000, 2025-10-30T04:00:00+00:00, 2025-10-30T04:30:00+00:00
0.572000, 2025-10-30T04:30:00+00:00, 2025-10-30T05:00:00+00:00
0.569000, 2025-10-30T05:00:00+00:00, 2025-10-30T05:30:00+00:00
0.582000, 2025-10-30T05:30:00+00:00, 2025-10-30T06:00:00+00:00
0.564000, 2025-10-30T06:00:00+00:00, 2025-10-30T06:30:00+00:00
0.561000, 2025-10-30T06:30:00+00:00, 2025-10-30T07:00:00+00:00
0.567000, 2025-10-30T07:00:00+00:00, 2025-10-30T07:30:00+00:00
0.423000, 2025-10-30T07:30:00+00:00, 2025-10-30T08:00:00+00:00
0.419000, 2025-10-30T08:00:00+00:00, 2025-10-30T08:30:00+00:00
0.792000, 2025-10-30T08:30:00+00:00, 2025-10-30T09:00:00+00:00
0.555000, 2025-10-30T09:00:00+00:00, 2025-10-30T09:30:00+00:00
0.516000, 2025-10-30T09:30:00+00:00, 2025-10-30T10:00:00+00:00
0.450000, 2025-10-30T10:00:00+00:00, 2025-10-30T10:30:00+00:00
0.436000, 2025-10-30T10:30:00+00:00, 2025-10-30T11:00:00+00:00
0.578000, 2025-10-30T11:00:00+00:00, 2025-10-30T11:30:00+00:00
0.657000, 2025-10-30T11:30:00+00:00, 2025-10-30T12:00:00+00:00
0.564000, 2025-10-30T12:00:00+00:00, 2025-10-30T12:30:00+00:00
0.562000, 2025-10-30T12:30:00+00:00, 2025-10-30T13:00:00+00:00
0.587000, 2025-10-30T13:00:00+00:00, 2025-10-30T13:30:00+00:00
0.627000, 2025-10-30T13:30:00+00:00, 2025-10-30T14:00:00+00:00
0.636000, 2025-10-30T14:00:00+00:00, 2025-10-30T14:30:00+00:00
0.613000, 2025-10-30T14:30:00+00:00, 2025-10-30T15:00:00+00:00
0.578000, 2025-10-30T15:00:00+00:00, 2025-10-30T15:30:00+00:00
0.612000, 2025-10-30T15:30:00+00:00, 2025-10-30T16:00:00+00:00
0.629000, 2025-10-30T16:00:00+00:00, 2025-10-30T16:30:00+00:00
0.571000, 2025-10-30T16:30:00+00:00, 2025-10-30T17:00:00+00:00
1.222000, 2025-10-30T17:00:00+00:00, 2025-10-30T17:30:00+00:00
1.469000, 2025-10-30T17:30:00+00:00, 2025-10-30T18:00:00+00:00
1.014000, 2025-10-30T18:00:00+00:00, 2025-10-30T18:30:00+00:00
1.394000, 2025-10-30T18:30:00+00:00, 2025-10-30T19:00:00+00:00
1.031000, 2025-10-30T19:00:00+00:00, 2025-10-30T19:30:00+00:00
0.897000, 2025-10-30T19:30:00+00:00, 2025-10-30T20:00:00+00:00
0.790000, 2025-10-30T20:00:00+00:00, 2025-10-30T20:30:00+00:00
0.796000, 2025-10-30T20:30:00+00:00, 2025-10-30T21:00:00+00:00
0.886000, 2025-10-30T21:00:00+00:00, 2025-10-30T21:30:00+00:00
0.883000, 2025-10-30T21:30:00+00:00, 2025-10-30T22:00:00+00:00
0.983000, 2025-10-30T22:00:00+00:00, 2025-10-30T22:30:00+00:00
0.996000, 2025-10-30T22:30:00+00:00, 2025-10-30T23:00:00+00:00
0.966000, 2025-10-30T23:00:00+00:00, 2025-10-30T23:30:00+00:00
0.977000, 2025-10-30T23:30:00+00:00, 2025-10-31T00:00:00+00:00
0.776000, 2025-10-31T00:00:00+00:00, 2025-10-31T00:30:00+00:00
0.673000, 2025-10-31T00:30:00+00:00, 2025-10-31T01:00:00+00:00
0.726000, 2025-10-31T01:00:00+00:00, 2025-10-31T01:30:00+00:00
0.693000, 2025-10-31T01:30:00+00:00, 2025-10-31T02:00:00+00:00
1.122000, 2025-10-31T02:00:00+00:00, 2025-10-31T02:30:00+00:00
0.641000, 2025-10-31T02:30:00+00:00, 2025-10-31T03:00:00+00:00
1.116000, 2025-10-31T03:00:00+00:00, 2025-10-31T03:30:00+00:00
0.620000, 2025-10-31T03:30:00+00:00, 2025-10-31T04:00:00+00:00
0.560000, 2025-10-31T04:00:00+00:00, 2025-10-31T04:30:00+00:00
0.563000, 2025-10-31T04:30:00+00:00, 2025-10-31T05:00:00+00:00
0.580000, 2025-10-31T05:00:00+00:00, 2025-10-31T05:30:00+00:00
0.562000, 2025-10-31T05:30:00+00:00, 2025-10-31T06:00:00+00:00
0.560000, 2025-10-31T06:00:00+00:00, 2025-10-31T06:30:00+00:00
0.575000, 2025-10-31T06:30:00+00:00, 2025-10-31T07:00:00+00:00
0.554000, 2025-10-31T07:00:00+00:00, 2025-10-31T07:30:00+00:00
0.556000, 2025-10-31T07:30:00+00:00, 2025-10-31T08:00:00+00:00
0.568000, 2025-10-31T08:00:00+00:00, 2025-10-31T08:30:00+00:00
0.683000, 2025-10-31T08:30:00+00:00, 2025-10-31T09:00:00+00:00
0.333000, 2025-10-31T09:00:00+00:00, 2025-10-31T09:30:00+00:00
0.525000, 2025-10-31T09:30:00+00:00, 2025-10-31T10:00:00+00:00
0.562000, 2025-10-31T10:00:00+00:00, 2025-10-31T10:30:00+00:00
0.670000, 2025-10-31T10:30:00+00:00, 2025-10-31T11:00:00+00:00
0.659000, 2025-10-31T11:00:00+00:00, 2025-10-31T11:30:00+00:00
0.616000, 2025-10-31T11:30:00+00:00, 2025-10-31T12:00:00+00:00
0.621000, 2025-10-31T12:00:00+00:00, 2025-10-31T12:30:00+00:00
0.662000, 2025-10-31T12:30:00+00:00, 2025-10-31T13:00:00+00:00
0.592000, 2025-10-31T13:00:00+00:00, 2025-10-31T13:30:00+00:00
0.605000, 2025-10-31T13:30:00+00:00, 2025-10-31T14:00:00+00:00
0.595000, 2025-10-31T14:00:00+00:00, 2025-10-31T14:30:00+00:00
0.570000, 2025-10-31T14:30:00+00:00, 2025-10-31T15:00:00+00:00
0.570000, 2025-10-31T15:00:00+00:00, 2025-10-31T15:30:00+00:00
0.587000, 2025-10-31T15:30:00+00:00, 2025-10-31T16:00:00+00:00
0.590000, 2025-10-31T16:00:00+00:00, 2025-10-31T16:30:00+00:00
0.579000, 2025-10-31T16:30:00+00:00, 2025-10-31T17:00:00+00:00
0.519000, 2025-10-31T17:00:00+00:00, 2025-10-31T17:30:00+00:00
0.511000, 2025-10-31T17:30:00+00:00, 2025-10-31T18:00:00+00:00
0.584000, 2025-10-31T18:00:00+00:00, 2025-10-31T18:30:00+00:00
0.570000, 2025-10-31T18:30:00+00:00, 2025-10-31T19:00:00+00:00
0.851000, 2025-10-31T19:00:00+00:00, 2025-10-31T19:30:00+00:00
1.192000, 2025-10-31T19:30:00+00:00, 2025-10-31T20:00:00+00:00
1.087000, 2025-10-31T20:00:00+00:00, 2025-10-31T20:30:00+00:00
0.661000, 2025-10-31T20:30:00+00:00, 2025-10-31T21:00:00+00:00
0.483000, 2025-10-31T21:00:00+00:00, 2025-10-31T21:30:00+00:00
0.454000, 2025-10-31T21:30:00+00:00, 2025-10-31T22:00:00+00:00
0.448000, 2025-10-31T22:00:00+00:00, 2025-10-31T22:30:00+00:00
0.457000, 2025-10-31T22:30:00+00:00, 2025-10-31T23:00:00+00:00
0.457000, 2025-10-31T23:00:00+00:00, 2025-10-31T23:30:00+00:00
0.461000, 2025-10-31T23:30:00+00:00, 2025-11-01T00:00:00+00:00
0.559000, 2025-11-01T00:00:00+00:00, 2025-11-01T00:30:00+00:00
1.161000, 2025-11-01T00:30:00+00:00, 2025-11-01T01:00:00+00:00
0.922000, 2025-11-01T01:00:00+00:00, 2025-11-01T01:30:00+00:00
0.873000, 2025-11-01T01:30:00+00:00, 2025-11-01T02:00:00+00:00
1.155000, 2025-11-01T02:00:00+00:00, 2025-11-01T02:30:00+00:00
0.843000, 2025-11-01T02:30:00+00:00, 2025-11-01T03:00:00+00:00
0.804000, 2025-11-01T03:00:00+00:00, 2025-11-01T03:30:00+00:00
0.762000, 2025-11-01T03:30:00+00:00, 2025-11-01T04:00:00+00:00
0.811000, 2025-11-01T04:00:00+00:00, 2025-11-01T04:30:00+00:00
0.834000, 2025-11-01T04:30:00+00:00, 2025-11-01T05:00:00+00:00
0.526000, 2025-11-01T05:00:00+00:00, 2025-11-01T05:30:00+00:00
0.554000, 2025-11-01T05:30:00+00:00, 2025-11-01T06:00:00+00:00
0.519000, 2025-11-01T06:00:00+00:00, 2025-11-01T06:30:00+00:00
0.487000, 2025-11-01T06:30:00+00:00, 2025-11-01T07:00:00+00:00
0.504000, 2025-11-01T07:00:00+00:00, 2025-11-01T07:30:00+00:00
0.501000, 2025-11-01T07:30:00+00:00, 2025-11-01T08:00:00+00:00
0.489000, 2025-11-01T08:00:00+00:00, 2025-11-01T08:30:00+00:00
0.494000, 2025-11-01T08:30:00+00:00, 2025-11-01T09:00:00+00:00
0.494000, 2025-11-01T09:00:00+00:00, 2025-11-01T09:30:00+00:00
0.510000, 2025-11-01T09:30:00+00:00, 2025-11-01T10:00:00+00:00
0.392000, 2025-11-01T10:00:00+00:00, 2025-11-01T10:30:00+00:00
0.352000, 2025-11-01T10:30:00+00:00, 2025-11-01T11:00:00+00:00
0.347000, 2025-11-01T11:00:00+00:00, 2025-11-01T11:30:00+00:00
0.350000, 2025-11-01T11:30:00+00:00, 2025-11-01T12:00:00+00:00
0.349000, 2025-11-01T12:00:00+00:00, 2025-11-01T12:30:00+00:00
0.374000, 2025-11-01T12:30:00+00:00, 2025-11-01T13:00:00+00:00
0.367000, 2025-11-01T13:00:00+00:00, 2025-11-01T13:30:00+00:00
0.335000, 2025-11-01T13:30:00+00:00, 2025-11-01T14:00:00+00:00
0.349000, 2025-11-01T14:00:00+00:00, 2025-11-01T14:30:00+00:00
